product_id,product_name,slug,brand,category,user_category,short_description,full_description,product_status,sort_order,goals,aim,search_tags,primary_image_url,image_url_2,image_url_3,image_url_4,image_url_5,serving_size_label,serving_size_g,calories,protein_g,carbohydrates_g,fat_g,fibre_g,sugar_g,sodium_mg,usage_information,ingredients,warnings_allergens,variant_id,sku,variant_name,size_weight,flavour,colour,variant_status,price_inr,compare_at_price_inr,stock_quantity,low_stock_threshold,is_default_variant,created_at,updated_at,variant_count,variant_options,goal_tags
PROD-012,SYNTHA-6 EDGE,syntha-6-edge-bsn,BSN,Whey Protein,Protein,Leaner Macronutrient Profile For Athletes Looking To Achieve A Shredded Physique,Leaner Macronutrient Profile For Athletes Looking To Achieve A Shredded Physique,draft,12,Muscle Building,protein,"protein, syntha 6 edge, bsn, whey protein concentrate",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-012-01,SKU-0046,30 g,30 g,,,active,2888,3235,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-013,Syntha-6,syntha-6-bsn,BSN,Whey Protein,Protein,"22g of an Ultra-Premium Blended Protein Formula for Use Anytime, Day or Night","22g of an Ultra-Premium Blended Protein Formula for Use Anytime, Day or Night",draft,13,Muscle Building,protein,"protein, syntha 6, bsn, whey protein",https://s3.images-iherb.com/bsn/bsn00742/u/3.jpg,https://s3.images-iherb.com/bsn/bsn00742/u/3.jpg,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-013-01,SKU-0001,30 g,30 g,,,active,3824,4283,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-014,Syntha-6 Isolate,syntha-6-isolate-bsn,BSN,Whey Protein,Protein,100% Isolate Protein Matrix!,100% Isolate Protein Matrix!,draft,14,Muscle Building,protein,"protein, syntha 6 isolate, bsn, whey protein isolate",https://s3.images-iherb.com/bsn/bsn07610/u/7.jpg,https://s3.images-iherb.com/bsn/bsn07610/u/7.jpg,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-014-01,SKU-0236,30 g,30 g,,,active,4573,5122,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-015,True Mass 1200,true-mass-1200-bsn,BSN,Whey Protein,Protein,Multi-Functional Protein & Carbohydrate Matrix*,Multi-Functional Protein & Carbohydrate Matrix*,draft,15,Muscle Building,protein,"protein, true mass 1200, bsn, whey protein",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-015-01,SKU-0199,30 g,30 g,,,active,4132,4628,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-016,True-Mass,true-mass-bsn,BSN,Whey Protein,Protein,Ultra Premium Muscle Mass Gainer*,Ultra Premium Muscle Mass Gainer*,draft,16,Muscle Building,protein,"protein, true mass, bsn, whey protein",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-016-01,SKU-0185,30 g,30 g,,,active,3715,4161,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-017,Mass Maker Ultra,mass-maker-ultra-beverly-international,Beverly International,Whey Protein,Protein,Ultra-Premium Lean Weight Gainer*,Ultra-Premium Lean Weight Gainer*,draft,17,Muscle Building,protein,"protein, mass maker ultra, beverly international, whey protein",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-017-01,SKU-0233,30 g,30 g,,,active,4458,4993,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-018,UMP,ump-beverly-international,Beverly International,Whey Protein,Protein,Ultra-Premium Protein Powder,Ultra-Premium Protein Powder,draft,18,Muscle Building,protein,"protein, ump, beverly international, whey protein blends",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-018-01,SKU-0041,30 g,30 g,,,active,3434,3846,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-019,Trutein,trutein-body-nutrition,Body Nutrition,Whey Protein,Protein,"Whey, Casein and Egg Protein Powder Blend","Whey, Casein and Egg Protein Powder Blend",draft,19,Muscle Building,protein,"protein, trutein, body nutrition, whey protein",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-019-01,SKU-0196,30 g,30 g,,,active,4929,5520,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-020,COR-Performance Whey,cor-performance-whey-cellucor,Cellucor,Whey Protein,Protein,Great Tasting Protein with Minimal Fat and Carbs and Added Digestive Enzymes*,Great Tasting Protein with Minimal Fat and Carbs and Added Digestive Enzymes*,draft,20,Muscle Building,protein,"protein, cor performance whey, cellucor, whey protein",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-020-01,SKU-0188,30 g,30 g,,,active,4249,4759,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-021,Dymatize ISO 100 Hydrolyzed Whey Protein,dymatize-iso-100-hydrolyzed-whey-protein,Dymatize,Whey Protein,Protein,"25g hydrolyzed 100% whey protein isolate, zero fat, zero sugar — ultra-fast absorption.","Dymatize ISO 100 uses a multi-step purification process to remove nearly all lactose and fat, leaving pure hydrolyzed whey protein isolate for rapid absorption. 25g protein, 0g sugar, and 0g fat per serving make it one of the cleanest proteins on the market, ideal for those who are cutting or lactose sensitive.",draft,21,"Muscle Building, Weight Loss","Lean Muscle,Cutting,Recovery","whey isolate,dymatize iso100,hydrolyzed,zero sugar,zero fat",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,1 Scoop (32g),32,120,25,2,0.5,0,0,160,Mix 1 scoop with 270–360ml cold water. Use post-workout or between meals.,"Hydrolyzed Whey Protein Isolate, Whey Protein Isolate, Cocoa Powder, Sunflower Lecithin, Natural & Artificial Flavours, Sucralose","Contains milk and soy (lecithin). Manufactured in a facility that processes egg, wheat, soy, peanuts, and tree nuts.",VAR-021-01,DY-ISO-1KG-FB,1kg - Fudge Brownie,1kg,Fudge Brownie,,active,4599,5199,0,5,TRUE,2026-08-23T17:59:48Z,2026-08-23T17:59:48Z,3,1kg - Fudge Brownie | 1kg - Gourmet Chocolate | 500g - Gourmet Chocolate,"Lean Muscle,Cutting,Recovery"
PROD-021,Dymatize ISO 100 Hydrolyzed Whey Protein,dymatize-iso-100-hydrolyzed-whey-protein,Dymatize,Whey Protein,Protein,"25g hydrolyzed 100% whey protein isolate, zero fat, zero sugar — ultra-fast absorption.","Dymatize ISO 100 uses a multi-step purification process to remove nearly all lactose and fat, leaving pure hydrolyzed whey protein isolate for rapid absorption. 25g protein, 0g sugar, and 0g fat per serving make it one of the cleanest proteins on the market, ideal for those who are cutting or lactose sensitive.",draft,21,"Muscle Building, Weight Loss","Lean Muscle,Cutting,Recovery","whey isolate,dymatize iso100,hydrolyzed,zero sugar,zero fat",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,1 Scoop (32g),32,120,25,2,0.5,0,0,160,Mix 1 scoop with 270–360ml cold water. Use post-workout or between meals.,"Hydrolyzed Whey Protein Isolate, Whey Protein Isolate, Cocoa Powder, Sunflower Lecithin, Natural & Artificial Flavours, Sucralose","Contains milk and soy (lecithin). Manufactured in a facility that processes egg, wheat, soy, peanuts, and tree nuts.",VAR-021-02,DY-ISO-1KG-GC,1kg - Gourmet Chocolate,1kg,Gourmet Chocolate,,active,4599,5199,0,5,FALSE,2026-08-23T17:59:48Z,2026-08-23T17:59:48Z,3,1kg - Fudge Brownie | 1kg - Gourmet Chocolate | 500g - Gourmet Chocolate,"Lean Muscle,Cutting,Recovery"
